@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE class {1.00,0.00}

@DATA
-0.169172,1.000000,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.169172,1.598135,0.179314,0.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.000000,0.179314,1.00
-0.914535,2.000000,0.179314,1.00
-0.914535,2.000000,0.179314,1.00
-0.914535,2.000000,-0.902146,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.169172,1.598135,0.179314,1.00
-0.914535,2.000000,0.179314,1.00
-0.169172,1.000000,0.810162,0.00
-0.169172,1.000000,0.179314,0.00
-0.914535,2.000000,0.179314,0.00
-0.914535,2.000000,0.179314,1.00
-0.914535,2.000000,0.179314,1.00
-0.169172,1.598135,0.179314,0.00
-0.169172,0.000000,0.810162,0.00
-0.169172,0.000000,0.179314,0.00
1.000000,1.000000,0.179314,0.00
1.000000,1.598135,0.179314,0.00
1.000000,1.000000,0.179314,1.00
1.000000,0.000000,0.179314,0.00
1.000000,1.000000,0.179314,0.00
1.000000,1.000000,0.179314,0.00
1.000000,1.000000,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,1.598135,0.179314,0.00
1.000000,0.000000,0.810162,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.810162,0.00
1.000000,1.000000,0.810162,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.810162,0.00
1.000000,1.000000,0.179314,0.00
1.000000,0.000000,0.810162,0.00
1.000000,0.000000,0.810162,0.00
-0.169172,0.598135,0.810162,0.00
-0.169172,0.598135,0.810162,0.00
-0.169172,1.000000,0.810162,0.00
-0.169172,1.000000,0.810162,0.00
-0.169172,1.598135,0.810162,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.169172,1.598135,0.810162,1.00
-0.169172,1.598135,0.810162,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.169172,1.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.169172,1.000000,0.179314,0.00
-0.914535,2.000000,0.179314,1.00
-0.169172,1.000000,0.810162,0.00
-0.169172,1.000000,0.810162,1.00
-0.169172,1.000000,0.810162,0.00
-0.169172,1.000000,0.810162,0.00
-0.169172,1.000000,0.810162,0.00
-0.169172,1.000000,0.179314,0.00
-0.169172,1.000000,0.179314,0.00
-0.169172,1.000000,0.179314,1.00
-0.169172,1.598135,0.810162,0.00
-0.914535,2.598135,0.179314,1.00
-0.169172,1.598135,0.179314,1.00
-0.169172,1.598135,0.179314,1.00
-0.169172,1.598135,0.179314,0.00
-0.169172,1.598135,0.179314,0.00
-0.169172,1.598135,0.179314,0.00
-0.169172,1.598135,0.179314,0.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.169172,1.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.169172,1.000000,0.810162,0.00
-0.169172,1.000000,-0.902146,0.00
-0.169172,1.000000,-0.902146,1.00
-0.169172,1.000000,-0.902146,0.00
-0.169172,1.000000,-0.902146,0.00
-0.169172,1.000000,-0.902146,0.00
-0.169172,1.000000,0.179314,0.00
-0.169172,0.000000,0.810162,0.00
-0.169172,1.000000,0.179314,1.00
-0.169172,1.000000,0.179314,1.00
1.000000,1.000000,-0.902146,1.00
1.000000,1.000000,0.179314,0.00
1.000000,1.598135,0.179314,1.00
1.000000,1.000000,-0.000000,0.00
1.000000,1.000000,-0.902146,0.00
1.000000,0.000000,0.810162,0.00
1.000000,6.140372,0.810162,1.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,-0.902146,0.00
1.000000,0.000000,0.810162,0.00
1.000000,5.140372,0.810162,0.00
1.000000,6.140372,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,6.140372,0.810162,1.00
1.000000,5.738506,0.179314,0.00
1.000000,0.598135,0.179314,0.00
1.000000,6.140372,0.179314,1.00
1.000000,6.140372,0.179314,1.00
1.000000,0.598135,0.179314,0.00
1.000000,0.598135,0.179314,0.00
1.000000,0.598135,0.810162,0.00
1.000000,0.598135,0.810162,0.00
1.000000,5.140372,0.179314,0.00
1.000000,5.140372,0.810162,0.00
1.000000,5.738506,0.810162,0.00
1.000000,5.738506,0.810162,0.00
1.000000,5.140372,0.810162,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.810162,0.00
1.000000,0.000000,0.810162,0.00
1.000000,0.000000,0.810162,0.00
1.000000,0.598135,0.810162,0.00
-0.169172,0.598135,0.810162,0.00
-0.169172,0.598135,0.179314,0.00
1.000000,1.000000,0.179314,0.00
1.000000,1.000000,0.810162,0.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,1.598135,0.179314,0.00
-0.169172,1.598135,0.179314,0.00
-0.169172,1.598135,0.810162,1.00
-0.169172,1.598135,0.810162,0.00
-0.169172,6.738506,0.179314,1.00
-0.169172,1.000000,0.179314,0.00
-0.169172,1.000000,0.179314,1.00
-0.169172,1.000000,0.179314,0.00
-0.169172,1.000000,0.179314,1.00
-0.169172,1.000000,0.179314,1.00
1.000000,1.000000,-0.902146,0.00
-0.169172,1.000000,0.810162,0.00
-0.169172,1.000000,0.810162,0.00
-0.169172,1.000000,0.810162,1.00
-0.169172,6.738506,0.179314,1.00
-0.914535,7.140372,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,1.598135,0.179314,0.00
-0.169172,1.598135,0.179314,0.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,1.598135,0.810162,0.00
-0.169172,1.598135,0.179314,0.00
-0.169172,1.598135,0.179314,0.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.140372,0.179314,1.00
-0.914535,7.140372,0.179314,1.00
-0.914535,7.140372,0.179314,1.00
-0.914535,7.140372,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.169172,1.000000,0.810162,0.00
-0.914535,2.000000,0.179314,1.00
-0.169172,1.000000,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,1.598135,0.179314,1.00
-0.169172,1.598135,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.810162,1.00
-0.169172,5.738506,0.179314,1.00
-0.169172,5.738506,0.179314,1.00
-0.169172,0.000000,0.179314,0.00
-0.169172,6.140372,0.179314,1.00
-0.169172,5.738506,0.179314,1.00
-0.169172,0.000000,0.179314,0.00
-0.169172,0.000000,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.810162,0.00
1.000000,1.000000,0.810162,0.00
1.000000,5.738506,0.179314,0.00
1.000000,6.140372,0.179314,0.00
1.000000,6.140372,-0.902146,1.00
1.000000,6.140372,0.179314,0.00
1.000000,0.000000,0.810162,0.00
1.000000,0.000000,-0.902146,0.00
1.000000,6.140372,0.179314,0.00
1.000000,0.000000,0.810162,0.00
1.000000,5.140372,0.810162,0.00
1.000000,0.000000,0.179314,0.00
1.000000,6.738506,0.179314,1.00
1.000000,1.598135,0.179314,0.00
1.000000,1.598135,0.179314,0.00
1.000000,0.000000,-0.000000,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.179314,0.00
-0.169172,6.140372,0.179314,1.00
1.000000,6.140372,0.810162,0.00
-0.169172,1.000000,0.810162,0.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
1.000000,6.738506,0.179314,1.00
-0.169172,1.000000,0.810162,0.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,1.598135,0.810162,0.00
-0.169172,1.598135,0.810162,0.00
-0.169172,1.598135,0.179314,0.00
-0.169172,1.000000,0.810162,0.00
-0.169172,1.598135,0.179314,1.00
-0.169172,1.598135,0.179314,0.00
-0.169172,1.598135,0.179314,0.00
-0.169172,1.598135,0.179314,0.00
-0.914535,2.000000,0.810162,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,1.000000,0.810162,0.00
-0.169172,0.598135,0.810162,0.00
-0.169172,1.598135,0.179314,1.00
-0.169172,0.598135,0.179314,0.00
-0.169172,0.598135,0.179314,0.00
1.000000,0.000000,-0.902146,0.00
1.000000,0.000000,-0.902146,0.00
-0.169172,0.598135,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
1.000000,6.738506,0.179314,1.00
1.000000,6.738506,0.179314,1.00
1.000000,6.738506,0.179314,1.00
1.000000,6.738506,0.179314,1.00
1.000000,6.738506,0.179314,1.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,1.000000,0.810162,0.00
1.000000,1.000000,-0.902146,0.00
1.000000,0.000000,0.810162,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.810162,0.00
1.000000,0.000000,-0.902146,0.00
1.000000,0.000000,0.810162,0.00
1.000000,0.000000,0.810162,0.00
1.000000,6.140372,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,5.738506,0.810162,0.00
1.000000,0.000000,0.179314,0.00
1.000000,6.140372,0.810162,1.00
1.000000,0.000000,0.810162,0.00
1.000000,6.140372,0.179314,0.00
1.000000,0.598135,0.810162,0.00
-0.169172,0.598135,-0.902146,0.00
1.000000,1.000000,0.810162,0.00
-0.169172,1.000000,0.179314,1.00
-0.169172,1.000000,0.179314,0.00
-0.169172,1.598135,0.179314,0.00
-0.169172,1.598135,0.810162,0.00
-0.169172,1.598135,0.810162,0.00
-0.169172,1.598135,0.810162,1.00
-0.169172,1.598135,0.810162,1.00
-0.169172,1.598135,0.179314,0.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.169172,1.598135,0.810162,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,1.598135,0.810162,1.00
-0.169172,1.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.169172,1.598135,0.810162,0.00
-0.169172,1.598135,0.810162,0.00
-0.169172,1.598135,0.179314,1.00
-0.169172,1.598135,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,1.000000,0.179314,1.00
-0.169172,1.000000,0.179314,0.00
-0.169172,1.000000,0.179314,0.00
-0.169172,1.000000,0.810162,0.00
-0.914535,7.738506,0.179314,1.00
-0.169172,1.598135,0.810162,0.00
-0.169172,6.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,1.000000,0.179314,0.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
1.000000,0.000000,0.179314,0.00
-0.169172,0.000000,0.810162,0.00
1.000000,0.000000,0.179314,0.00
-0.169172,0.000000,0.179314,0.00
-0.169172,0.000000,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.169172,1.598135,0.179314,1.00
1.000000,0.598135,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.598135,0.179314,0.00
-0.169172,6.140372,0.810162,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,6.140372,-0.000000,1.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.810162,0.00
1.000000,0.000000,0.179314,0.00
1.000000,6.140372,0.179314,1.00
1.000000,6.140372,0.810162,1.00
1.000000,5.738506,0.179314,1.00
1.000000,5.140372,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.810162,0.00
1.000000,6.140372,-0.902146,1.00
1.000000,0.000000,0.179314,0.00
1.000000,0.598135,0.810162,0.00
1.000000,0.598135,0.179314,0.00
-0.169172,1.598135,0.179314,0.00
-0.169172,6.738506,0.179314,1.00
-0.169172,0.598135,0.179314,0.00
1.000000,0.000000,0.179314,0.00
-0.169172,0.598135,0.810162,0.00
1.000000,6.738506,0.810162,0.00
-0.169172,0.598135,0.179314,1.00
1.000000,5.738506,0.179314,0.00
-0.169172,5.738506,0.810162,0.00
-0.169172,5.738506,0.810162,1.00
-0.169172,5.738506,0.810162,0.00
-0.169172,5.738506,0.810162,0.00
0.553391,2.598135,0.179314,0.00
1.000000,1.000000,0.810162,0.00
1.000000,6.140372,0.179314,0.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.169172,1.598135,0.810162,0.00
-0.914535,2.000000,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,2.598135,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,1.598135,0.810162,1.00
-0.169172,1.598135,0.810162,0.00
-0.169172,0.000000,0.179314,0.00
1.000000,5.140372,-0.000000,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,6.140372,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,6.140372,0.179314,0.00
1.000000,0.000000,0.179314,0.00
1.000000,0.000000,0.179314,0.00
-0.169172,6.738506,0.179314,1.00
-0.914535,7.140372,0.179314,1.00
-0.914535,7.140372,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
1.000000,6.140372,0.179314,0.00
1.000000,6.140372,0.179314,1.00
1.000000,5.140372,-0.902146,0.00
1.000000,6.140372,0.179314,1.00
-0.169172,5.738506,0.179314,1.00
1.000000,5.140372,0.179314,0.00
1.000000,5.140372,0.179314,0.00
1.000000,5.140372,-0.000000,0.00
1.000000,5.140372,0.810162,0.00
1.000000,6.140372,0.179314,0.00
1.000000,5.140372,0.179314,0.00
1.000000,6.140372,0.179314,0.00
1.000000,5.140372,0.179314,0.00
1.000000,5.140372,0.810162,0.00
1.000000,5.140372,0.810162,0.00
1.000000,5.140372,-0.902146,0.00
-0.914535,7.738506,0.179314,1.00
0.553391,7.140372,-0.902146,1.00
1.000000,6.140372,0.810162,0.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,6.738506,0.810162,1.00
-0.169172,6.738506,0.810162,1.00
1.000000,6.140372,-0.902146,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,6.140372,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,6.738506,0.810162,1.00
-0.169172,6.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.140372,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.140372,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,6.738506,0.810162,0.00
-0.169172,6.140372,0.179314,1.00
-0.169172,6.140372,0.179314,1.00
-0.169172,6.140372,0.179314,1.00
-0.169172,6.140372,0.810162,0.00
-0.169172,6.738506,0.810162,1.00
-0.914535,7.140372,-0.902146,1.00
-0.914535,7.140372,-0.902146,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.169172,5.140372,0.179314,0.00
-0.169172,5.140372,0.179314,0.00
-0.169172,6.738506,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
1.000000,5.140372,0.179314,0.00
1.000000,5.140372,0.179314,0.00
1.000000,6.140372,0.179314,1.00
1.000000,6.140372,0.179314,0.00
1.000000,6.140372,0.179314,0.00
1.000000,6.140372,-0.000000,1.00
1.000000,5.140372,0.179314,1.00
1.000000,6.140372,0.179314,0.00
1.000000,5.140372,0.810162,0.00
1.000000,5.738506,0.179314,0.00
1.000000,5.140372,0.810162,0.00
1.000000,5.140372,0.810162,0.00
1.000000,6.738506,0.179314,0.00
1.000000,6.738506,0.179314,0.00
1.000000,6.738506,0.179314,1.00
1.000000,6.738506,0.179314,1.00
1.000000,6.738506,0.179314,1.00
1.000000,6.738506,0.179314,1.00
1.000000,5.140372,0.810162,0.00
1.000000,5.140372,0.179314,1.00
1.000000,5.738506,0.179314,0.00
1.000000,5.738506,0.179314,0.00
1.000000,5.140372,0.179314,0.00
-0.169172,6.738506,0.810162,1.00
1.000000,5.738506,0.179314,1.00
1.000000,6.738506,0.810162,1.00
1.000000,5.140372,0.179314,0.00
1.000000,5.140372,0.179314,1.00
1.000000,5.140372,0.810162,0.00
1.000000,5.140372,0.810162,0.00
-0.169172,5.738506,0.810162,0.00
-0.169172,6.738506,0.810162,0.00
-0.169172,6.140372,0.810162,1.00
-0.169172,6.140372,0.810162,0.00
1.000000,6.140372,0.179314,0.00
1.000000,6.140372,0.179314,1.00
-0.169172,6.140372,-0.000000,1.00
-0.169172,6.140372,-0.000000,1.00
-0.169172,6.140372,-0.000000,1.00
-0.169172,6.140372,-0.000000,1.00
-0.169172,6.738506,0.810162,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.140372,0.179314,1.00
-0.914535,7.140372,-0.902146,1.00
-0.914535,7.140372,-0.902146,1.00
-0.914535,7.140372,-0.902146,1.00
-0.169172,6.140372,0.810162,0.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.140372,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.169172,5.140372,-0.000000,0.00
-0.169172,6.140372,0.179314,1.00
-0.169172,5.140372,-0.902146,1.00
-0.169172,5.738506,0.179314,1.00
1.000000,5.140372,-0.902146,1.00
1.000000,5.140372,-0.902146,0.00
1.000000,6.738506,0.179314,1.00
1.000000,5.140372,0.179314,0.00
1.000000,5.140372,0.179314,0.00
1.000000,6.140372,0.179314,1.00
1.000000,5.140372,0.179314,0.00
1.000000,6.140372,0.179314,1.00
1.000000,5.140372,0.179314,0.00
1.000000,5.140372,0.179314,0.00
1.000000,6.140372,0.179314,0.00
1.000000,6.140372,0.179314,0.00
1.000000,6.140372,-0.902146,1.00
1.000000,5.140372,0.179314,0.00
1.000000,5.140372,0.810162,0.00
1.000000,5.140372,0.179314,0.00
1.000000,5.140372,0.179314,1.00
1.000000,5.140372,0.810162,0.00
1.000000,5.140372,0.810162,0.00
1.000000,5.140372,0.179314,0.00
1.000000,5.140372,0.179314,0.00
1.000000,5.140372,0.179314,0.00
1.000000,6.738506,0.179314,1.00
1.000000,6.738506,0.179314,1.00
-0.914535,7.140372,-0.902146,1.00
-0.914535,7.140372,-0.902146,1.00
-0.169172,6.140372,-0.902146,1.00
-0.169172,6.738506,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.169172,6.738506,0.810162,1.00
-0.169172,6.738506,0.810162,1.00
-0.169172,6.738506,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,-0.902146,1.00
-0.169172,6.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,6.738506,0.810162,1.00
-0.169172,6.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.140372,-0.902146,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,5.140372,0.810162,0.00
-0.169172,6.140372,0.179314,1.00
-0.169172,6.140372,0.179314,1.00
1.000000,5.140372,0.179314,0.00
1.000000,5.140372,-0.000000,0.00
1.000000,6.140372,-0.902146,1.00
1.000000,5.140372,0.179314,0.00
1.000000,5.140372,-0.000000,1.00
1.000000,5.738506,0.179314,0.00
1.000000,5.140372,0.810162,0.00
1.000000,5.140372,0.179314,0.00
1.000000,5.140372,0.179314,0.00
1.000000,5.140372,0.810162,0.00
1.000000,5.140372,0.810162,0.00
1.000000,5.140372,0.179314,0.00
1.000000,5.140372,0.810162,0.00
1.000000,5.140372,0.179314,0.00
1.000000,5.738506,0.810162,0.00
1.000000,5.140372,0.810162,0.00
1.000000,5.738506,0.810162,0.00
1.000000,5.140372,0.810162,0.00
1.000000,5.140372,0.179314,1.00
1.000000,5.140372,0.179314,0.00
-0.169172,6.140372,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.914535,7.140372,0.179314,1.00
1.000000,6.140372,-0.902146,1.00
1.000000,6.140372,-0.902146,1.00
-0.169172,6.140372,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,6.140372,0.179314,1.00
-0.914535,7.738506,0.810162,1.00
-0.914535,7.738506,0.810162,1.00
-0.914535,7.738506,0.810162,1.00
-0.169172,6.140372,-0.902146,1.00
-0.169172,6.140372,-0.902146,1.00
-0.169172,6.140372,-0.902146,1.00
-0.169172,6.140372,0.179314,1.00
-0.169172,6.140372,-0.000000,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,6.140372,0.810162,1.00
-0.914535,7.738506,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.169172,6.738506,0.179314,1.00
-0.169172,6.140372,-0.902146,1.00
-0.169172,6.140372,-0.902146,1.00
-0.169172,6.140372,-0.902146,1.00
-0.169172,5.140372,0.179314,0.00
-0.169172,6.738506,0.179314,1.00
-0.169172,5.140372,0.179314,0.00
-0.169172,6.140372,0.179314,1.00
1.000000,6.738506,0.179314,1.00
